Id,ActivityMinute,Calories,Date
1503960366,2016-03-20 01:06:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:07:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:08:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:09:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:10:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:11:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:12:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:13:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:14:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:15:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:16:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:17:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:18:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:19:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:20:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:21:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:22:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:23:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:24:00,0.951719999313354,2016-03-20
1503960366,2016-03-20 01:25:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:26:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:27:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:28:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:29:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:30:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:31:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:32:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:33:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:34:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:35:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:36:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:37:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:38:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:39:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:40:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:41:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:42:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:43:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:44:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:45:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:46:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:47:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:48:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:49:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:50:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:51:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:52:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:53:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:54:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:55:00,0.951719999313354,2016-03-20
1503960366,2016-03-20 01:56:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:57:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:58:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 01:59:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:00:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:01:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:02:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:03:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:04:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:05:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:06:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:07:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:08:00,0.951719999313354,2016-03-20
1503960366,2016-03-20 02:09:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:10:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:11:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:12:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:13:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:14:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:15:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:16:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:17:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:18:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:19:00,0.951719999313354,2016-03-20
1503960366,2016-03-20 02:20:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:21:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:22:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:23:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:24:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:25:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:26:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:27:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:28:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:29:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:30:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:31:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:32:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:33:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:34:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:35:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:36:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:37:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:38:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:39:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:40:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:41:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:42:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:43:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:44:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:45:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:46:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:47:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:48:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:49:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:50:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:51:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:52:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:53:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:54:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:55:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:56:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:57:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:58:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 02:59:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:00:00,0.951719999313354,2016-03-20
1503960366,2016-03-20 03:01:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:02:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:03:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:04:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:05:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:06:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:07:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:08:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:09:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:10:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:11:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:12:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:13:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:14:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:15:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:16:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:17:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:18:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:19:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:20:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:21:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:22:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:23:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:24:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:25:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:26:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:27:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:28:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:29:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:30:00,0.951719999313354,2016-03-20
1503960366,2016-03-20 03:31:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:32:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:33:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:34:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:35:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:36:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:37:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:38:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:39:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:40:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:41:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:42:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:43:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:44:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:45:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:46:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:47:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:48:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:49:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:50:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:51:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:52:00,0.951719999313354,2016-03-20
1503960366,2016-03-20 03:53:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:54:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:55:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:56:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:57:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:58:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 03:59:00,0.951719999313354,2016-03-20
1503960366,2016-03-20 04:00:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:01:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:02:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:03:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:04:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:05:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:06:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:07:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:08:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:09:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:10:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:11:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:12:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:13:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:14:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:15:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:16:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:17:00,0.951719999313354,2016-03-20
1503960366,2016-03-20 04:18:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:19:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:20:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:21:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:22:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:23:00,0.951719999313354,2016-03-20
1503960366,2016-03-20 04:24:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:25:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:26:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:27:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:28:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:29:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:30:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:31:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:32:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:33:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:34:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:35:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:36:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:37:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:38:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:39:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:40:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:41:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:42:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:43:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:44:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:45:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:46:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:47:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:48:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:49:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:50:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:51:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:52:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:53:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:54:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:55:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:56:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:57:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:58:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 04:59:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:00:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:01:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:02:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:03:00,0.951719999313354,2016-03-20
1503960366,2016-03-20 05:04:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:05:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:06:00,0.951719999313354,2016-03-20
1503960366,2016-03-20 05:07:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:08:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:09:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:10:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:11:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:12:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:13:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:14:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:15:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:16:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:17:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:18:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:19:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:20:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:21:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:22:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:23:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:24:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:25:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:26:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:27:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:28:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:29:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:30:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:31:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:32:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:33:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:34:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:35:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:36:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:37:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:38:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:39:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:40:00,0.951719999313354,2016-03-20
1503960366,2016-03-20 05:41:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:42:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:43:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:44:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:45:00,0.951719999313354,2016-03-20
1503960366,2016-03-20 05:46:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:47:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:48:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:49:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:50:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:51:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:52:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:53:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:54:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:55:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:56:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:57:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:58:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 05:59:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:00:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:01:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:02:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:03:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:04:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:05:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:06:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:07:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:08:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:09:00,0.951719999313354,2016-03-20
1503960366,2016-03-20 06:10:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:11:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:12:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:13:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:14:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:15:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:16:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:17:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:18:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:19:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:20:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:21:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:22:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:23:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:24:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:25:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:26:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:27:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:28:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:29:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:30:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:31:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:32:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:33:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:34:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:35:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:36:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:37:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:38:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:39:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:40:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:41:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:42:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:43:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:44:00,0.951719999313354,2016-03-20
1503960366,2016-03-20 06:45:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:46:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:47:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:48:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:49:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:50:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:51:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:52:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:53:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:54:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:55:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:56:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:57:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:58:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 06:59:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 07:00:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 07:01:00,0.793099999427795,2016-03-20
1503960366,2016-03-20 07:02:00,0.793099999427795,2016-03-20
